repo name,user name,stars count,repo url
devops-exercises,bregman-arie,60500,https://github.com/bregman-arie
system-design-101,ByteByteGoHq,52000,https://github.com/ByteByteGoHq
localstack,localstack,51000,https://github.com/localstack
serverless,serverless,45800,https://github.com/serverless
data-science-ipython-notebooks,donnemartin,26000,https://github.com/donnemartin
sst,sst,19000,https://github.com/sst
pulumi,pulumi,18700,https://github.com/pulumi
kubespray,kubernetes-sigs,15000,https://github.com/kubernetes-sigs
aws-cli,aws,14600,https://github.com/aws
sops,getsops,14600,https://github.com/getsops
